InternalConflict,LaggedGDPGrowth,InitialGDP,Democracy,Mountains,EthnicFrac,ReligiousFrac,LaggedRainfallGrowth,country_name,year
0,-0.09584019333124161,0.49000000953674316,-8,4.199999809265137,0.9016318321228027,0.6800000071525574,-0.08893605321645737,Zaire,1991
0,-0.11269138008356094,0.49000000953674316,-8,4.199999809265137,0.9016318321228027,0.6800000071525574,-0.10341906547546387,Zaire,1992
0,-0.1338358223438263,0.49000000953674316,0,4.199999809265137,0.9016318321228027,0.6800000071525574,-0.15824341773986816,Zaire,1993
0,-0.16053679585456848,0.49000000953674316,0,4.199999809265137,0.9016318321228027,0.6800000071525574,0.05405528470873833,Zaire,1994
0,-0.06977158039808273,0.49000000953674316,0,4.199999809265137,0.9016318321228027,0.6800000071525574,-0.015846693888306618,Zaire,1995
1,-0.02519410476088524,0.49000000953674316,0,4.199999809265137,0.9016318321228027,0.6800000071525574,0.02767527662217617,Zaire,1996
1,-0.038912318646907806,0.49000000953674316,0,4.199999809265137,0.9016318321228027,0.6800000071525574,-0.02197692170739174,Zaire,1997
1,-0.08517704904079437,0.49000000953674316,0,4.199999809265137,0.9016318321228027,0.6800000071525574,-0.11887845396995544,Zaire,1998
1,-0.06643364578485489,0.5720000267028809,3,9.399998664855957,0.8994653224945068,0.7242000102996826,-0.07633646577596664,Uganda,1981
1,0.6704120635986328,0.5720000267028809,3,9.399998664855957,0.8994653224945068,0.7242000102996826,0.12278416007757187,Uganda,1982
1,0.09641251713037491,0.5720000267028809,3,9.399998664855957,0.8994653224945068,0.7242000102996826,0.24964086711406708,Uganda,1983
1,0.11963194608688354,0.5720000267028809,3,9.399998664855957,0.8994653224945068,0.7242000102996826,-0.24608656764030457,Uganda,1984
1,-0.4739726483821869,0.5720000267028809,3,9.399998664855957,0.8994653224945068,0.7242000102996826,-0.14353549480438232,Uganda,1985
1,-0.06249992176890373,0.5720000267028809,0,9.399998664855957,0.8994653224945068,0.7242000102996826,0.3811311423778534,Uganda,1986
1,-0.06481485813856125,0.5720000267028809,-7,9.399998664855957,0.8994653224945068,0.7242000102996826,-0.12339283525943756,Uganda,1987
1,0.007920808158814907,0.5720000267028809,-7,9.399998664855957,0.8994653224945068,0.7242000102996826,0.012560728937387466,Uganda,1988
1,0.035363469272851944,0.5720000267028809,-7,9.399998664855957,0.8994653224945068,0.7242000102996826,0.29947271943092346,Uganda,1989
1,0.03984813764691353,0.5720000267028809,-7,9.399998664855957,0.8994653224945068,0.7242000102996826,-0.16307446360588074,Uganda,1990
1,0.01094898208975792,0.5720000267028809,-7,9.399998664855957,0.8994653224945068,0.7242000102996826,0.033911507576704025,Uganda,1991
0,0.016245493665337563,0.5720000267028809,-7,9.399998664855957,0.8994653224945068,0.7242000102996826,-0.012825741432607174,Uganda,1992
0,-0.028419239446520805,0.5720000267028809,-7,9.399998664855957,0.8994653224945068,0.7242000102996826,-0.10743242502212524,Uganda,1993
1,0.04909701272845268,0.5720000267028809,-4,9.399998664855957,0.8994653224945068,0.7242000102996826,-0.1111895963549614,Uganda,1994
1,0.031215181574225426,0.5720000267028809,-4,9.399998664855957,0.8994653224945068,0.7242000102996826,0.08850312978029251,Uganda,1995
1,0.08199897408485413,0.5720000267028809,-4,9.399998664855957,0.8994653224945068,0.7242000102996826,-0.0322418250143528,Uganda,1996
1,0.05831027030944824,0.5720000267028809,-4,9.399998664855957,0.8994653224945068,0.7242000102996826,0.11201592534780502,Uganda,1997
1,0.018311286345124245,0.5720000267028809,-4,9.399998664855957,0.8994653224945068,0.7242000102996826,-0.01043943502008915,Uganda,1998
1,0.027317585423588753,0.5720000267028809,-4,9.399998664855957,0.8994653224945068,0.7242000102996826,-0.20925256609916687,Uganda,1999
0,-0.021482257172465324,0.9309999942779541,-6,26.299999237060547,0.833253800868988,0.7045999765396118,-0.3185182511806488,Kenya,1981
1,-0.045005496591329575,0.9309999942779541,-6,26.299999237060547,0.833253800868988,0.7045999765396118,0.29520344734191895,Kenya,1982
0,-0.011494241654872894,0.9309999942779541,-7,26.299999237060547,0.833253800868988,0.7045999765396118,0.3220856487751007,Kenya,1983
0,-0.027906963601708412,0.9309999942779541,-7,26.299999237060547,0.833253800868988,0.7045999765396118,-0.37936902046203613,Kenya,1984
0,-0.003588541643694043,0.9309999942779541,-7,26.299999237060547,0.833253800868988,0.7045999765396118,0.008970010094344616,Kenya,1985
0,-0.04681869596242905,0.9309999942779541,-7,26.299999237060547,0.833253800868988,0.7045999765396118,0.16356128454208374,Kenya,1986
0,0.07934504002332687,0.9309999942779541,-7,26.299999237060547,0.833253800868988,0.7045999765396118,-0.09955348074436188,Kenya,1987
0,0.028004655614495277,0.9309999942779541,-7,26.299999237060547,0.833253800868988,0.7045999765396118,-0.15454183518886566,Kenya,1988
0,0.02383658103644848,0.9309999942779541,-7,26.299999237060547,0.833253800868988,0.7045999765396118,0.22639885544776917,Kenya,1989
0,0.013303729705512524,0.9309999942779541,-7,26.299999237060547,0.833253800868988,0.7045999765396118,0.028486421331763268,Kenya,1990
0,-0.0032822336070239544,0.9309999942779541,-7,26.299999237060547,0.833253800868988,0.7045999765396118,-0.04180357977747917,Kenya,1991
0,-0.009879257529973984,0.9309999942779541,-5,26.299999237060547,0.833253800868988,0.7045999765396118,-0.2294423133134842,Kenya,1992
0,0.013303729705512524,0.9309999942779541,-5,26.299999237060547,0.833253800868988,0.7045999765396118,0.06673035770654678,Kenya,1993
0,-0.022938920184969902,0.9309999942779541,-5,26.299999237060547,0.833253800868988,0.7045999765396118,-0.11274029314517975,Kenya,1994
0,0.001134824356995523,0.9309999942779541,-5,26.299999237060547,0.833253800868988,0.7045999765396118,0.23775357007980347,Kenya,1995
0,0.020287448540329933,0.9309999942779541,-5,26.299999237060547,0.833253800868988,0.7045999765396118,-0.08766965568065643,Kenya,1996
0,0.018231244757771492,0.9309999942779541,-5,26.299999237060547,0.833253800868988,0.7045999765396118,-0.13519923388957977,Kenya,1997
0,-0.002014945028349757,0.9309999942779541,-2,26.299999237060547,0.833253800868988,0.7045999765396118,0.8901612758636475,Kenya,1998
0,-0.006018525920808315,0.9309999942779541,-2,26.299999237060547,0.833253800868988,0.7045999765396118,-0.26930737495422363,Kenya,1999
0,-0.1028038039803505,0.5350000262260437,-7,21.700000762939453,0.925034761428833,0.6349999904632568,-0.15025106072425842,"Tanzania, United Republic of",1981
0,-0.039583321660757065,0.5350000262260437,-7,21.700000762939453,0.925034761428833,0.6349999904632568,-0.13849224150180817,"Tanzania, United Republic of",1982
0,0.010845976881682873,0.5350000262260437,-7,21.700000762939453,0.925034761428833,0.6349999904632568,0.3674169182777405,"Tanzania, United Republic of",1983
0,-0.09442060440778732,0.5350000262260437,-7,21.700000762939453,0.925034761428833,0.6349999904632568,-0.19096948206424713,"Tanzania, United Republic of",1984
0,0.09715642035007477,0.5350000262260437,-7,21.700000762939453,0.925034761428833,0.6349999904632568,0.10973787307739258,"Tanzania, United Republic of",1985
0,0.021598251536488533,0.5350000262260437,-7,21.700000762939453,0.925034761428833,0.6349999904632568,0.01752997376024723,"Tanzania, United Republic of",1986
0,0.14164911210536957,0.5350000262260437,-7,21.700000762939453,0.925034761428833,0.6349999904632568,-0.08315493166446686,"Tanzania, United Republic of",1987
0,-0.003703766269609332,0.5350000262260437,-7,21.700000762939453,0.925034761428833,0.6349999904632568,-0.1102219745516777,"Tanzania, United Republic of",1988
0,-0.007434959523379803,0.5350000262260437,-7,21.700000762939453,0.925034761428833,0.6349999904632568,0.09258819371461868,"Tanzania, United Republic of",1989
0,0.005757540930062532,0.5350000262260437,-7,21.700000762939453,0.925034761428833,0.6349999904632568,0.1805052012205124,"Tanzania, United Republic of",1990
0,0.03788702189922333,0.5350000262260437,-7,21.700000762939453,0.925034761428833,0.6349999904632568,-0.18858492374420166,"Tanzania, United Republic of",1991
0,-0.01004033349454403,0.5350000262260437,-7,21.700000762939453,0.925034761428833,0.6349999904632568,-0.04266628250479698,"Tanzania, United Republic of",1992
0,-0.02408308908343315,0.5350000262260437,-6,21.700000762939453,0.925034761428833,0.6349999904632568,-0.05268600210547447,"Tanzania, United Republic of",1993
0,-0.018859442323446274,0.5350000262260437,-6,21.700000762939453,0.925034761428833,0.6349999904632568,-0.14807355403900146,"Tanzania, United Republic of",1994
0,-0.014560014940798283,0.5350000262260437,-6,21.700000762939453,0.925034761428833,0.6349999904632568,0.05243292823433876,"Tanzania, United Republic of",1995
0,0.00650813989341259,0.5350000262260437,-1,21.700000762939453,0.925034761428833,0.6349999904632568,0.10584378987550735,"Tanzania, United Republic of",1996
0,0.017325691878795624,0.5350000262260437,-1,21.700000762939453,0.925034761428833,0.6349999904632568,-0.11289037764072418,"Tanzania, United Republic of",1997
0,0.007902992889285088,0.5350000262260437,-1,21.700000762939453,0.925034761428833,0.6349999904632568,0.21995478868484497,"Tanzania, United Republic of",1998
0,0.0144574623554945,0.5350000262260437,-1,21.700000762939453,0.925034761428833,0.6349999904632568,-0.19603006541728973,"Tanzania, United Republic of",1999
0,-0.014373715966939926,0.4869999885559082,-7,74.49998474121094,0.03551065921783447,0.5501999855041504,-0.11328336596488953,Burundi,1981
0,0.054166652262210846,0.4869999885559082,-7,74.49998474121094,0.03551065921783447,0.5501999855041504,0.060071781277656555,Burundi,1982
0,-0.005928777623921633,0.4869999885559082,-7,74.49998474121094,0.03551065921783447,0.5501999855041504,0.29582273960113525,Burundi,1983
0,-0.031809207051992416,0.4869999885559082,-7,74.49998474121094,0.03551065921783447,0.5501999855041504,-0.2333022505044937,Burundi,1984
0,-0.008213507942855358,0.4869999885559082,-7,74.49998474121094,0.03551065921783447,0.5501999855041504,-0.03641112148761749,Burundi,1985
0,0.09109730273485184,0.4869999885559082,-7,74.49998474121094,0.03551065921783447,0.5501999855041504,0.20109310746192932,Burundi,1986
0,0.04554077610373497,0.4869999885559082,-7,74.49998474121094,0.03551065921783447,0.5501999855041504,-0.10012520104646683,Burundi,1987
0,-0.023593487218022346,0.4869999885559082,-7,74.49998474121094,0.03551065921783447,0.5501999855041504,0.016232695430517197,Burundi,1988
0,0.03903350979089737,0.4869999885559082,-7,74.49998474121094,0.03551065921783447,0.5501999855041504,0.15247130393981934,Burundi,1989
1,-0.04830055311322212,0.4869999885559082,-7,74.49998474121094,0.03551065921783447,0.5501999855041504,0.0019980953074991703,Burundi,1990
1,0.03383459895849228,0.4869999885559082,-7,74.49998474121094,0.03551065921783447,0.5501999855041504,-0.12578216195106506,Burundi,1991
1,0.018181800842285156,0.4869999885559082,-7,74.49998474121094,0.03551065921783447,0.5501999855041504,-0.04671109467744827,Burundi,1992
0,0.016071435064077377,0.4869999885559082,-3,74.49998474121094,0.03551065921783447,0.5501999855041504,-0.07361777126789093,Burundi,1993
0,-0.07957921922206879,0.4869999885559082,0,74.49998474121094,0.03551065921783447,0.5501999855041504,-0.16530217230319977,Burundi,1994
1,-0.06084712967276573,0.4869999885559082,0,74.49998474121094,0.03551065921783447,0.5501999855041504,0.06433334946632385,Burundi,1995
1,-0.09221147000789642,0.4869999885559082,0,74.49998474121094,0.03551065921783447,0.5501999855041504,0.010924946516752243,Burundi,1996
1,-0.10345233231782913,0.4869999885559082,-5,74.49998474121094,0.03551065921783447,0.5501999855041504,0.006873886566609144,Burundi,1997
1,-0.017306677997112274,0.4869999885559082,-5,74.49998474121094,0.03551065921783447,0.5501999855041504,0.07617104053497314,Burundi,1998
1,0.027148554101586342,0.4869999885559082,-1,74.49998474121094,0.03551065921783447,0.5501999855041504,-0.1550050973892212,Burundi,1999
0,0.058741338551044464,0.7149999737739563,-7,73.399993896484375,0.12921082973480225,0.5067999958992004,-0.09449250251054764,Rwanda,1981
0,0.11756932735443115,0.7149999737739563,-7,73.399993896484375,0.12921082973480225,0.5067999958992004,0.03721992298960686,Rwanda,1982
0,-0.029550869017839432,0.7149999737739563,-7,73.399993896484375,0.12921082973480225,0.5067999958992004,0.28242844343185425,Rwanda,1983
0,0.01583436317741871,0.7149999737739563,-7,73.399993896484375,0.12921082973480225,0.5067999958992004,-0.23061230778694153,Rwanda,1984
0,-0.07793764770030975,0.7149999737739563,-7,73.399993896484375,0.12921082973480225,0.5067999958992004,0.02310045249760151,Rwanda,1985
0,0.009102768264710903,0.7149999737739563,-7,73.399993896484375,0.12921082973480225,0.5067999958992004,0.17377638816833496,Rwanda,1986
0,-0.001288719940930605,0.7149999737739563,-7,73.399993896484375,0.12921082973480225,0.5067999958992004,-0.16884441673755646,Rwanda,1987
0,-0.006451606750488281,0.7149999737739563,-7,73.399993896484375,0.12921082973480225,0.5067999958992004,0.12567365169525146,Rwanda,1988
0,-0.02207787148654461,0.7149999737739563,-7,73.399993896484375,0.12921082973480225,0.5067999958992004,0.19645848870277405,Rwanda,1989
1,-0.03054448962211609,0.7149999737739563,-7,73.399993896484375,0.12921082973480225,0.5067999958992004,-0.11572697013616562,Rwanda,1990
1,0.03561638668179512,0.7149999737739563,-7,73.399993896484375,0.12921082973480225,0.5067999958992004,-0.040788523852825165,Rwanda,1991
1,0,0.7149999737739563,-7,73.399993896484375,0.12921082973480225,0.5067999958992004,-0.12671177089214325,Rwanda,1992
1,0.007936563342809677,0.7149999737739563,-7,73.399993896484375,0.12921082973480225,0.5067999958992004,-0.07935501635074615,Rwanda,1993
1,-0.10577274113893509,0.7149999737739563,-6,73.399993896484375,0.12921082973480225,0.5067999958992004,-0.03752462938427925,Rwanda,1994
0,-0.3969290852546692,0.7149999737739563,-6,73.399993896484375,0.12921082973480225,0.5067999958992004,0.09223908931016922,Rwanda,1995
1,0.3073173463344574,0.7149999737739563,-6,73.399993896484375,0.12921082973480225,0.5067999958992004,0.020648587495088577,Rwanda,1996
1,0.10234028846025467,0.7149999737739563,-6,73.399993896484375,0.12921082973480225,0.5067999958992004,0.015454800799489021,Rwanda,1997
1,-0.0389704629778862,0.7149999737739563,-6,73.399993896484375,0.12921082973480225,0.5067999958992004,-0.023753536865115166,Rwanda,1998
1,0.06652077287435532,0.7149999737739563,-6,73.399993896484375,0.12921082973480225,0.5067999958992004,-0.08996574580669403,Rwanda,1999
1,-0.21601684391498566,0.9490000009536743,-7,12.59999942779541,0.07674294710159302,0,-0.35088321566581726,Somalia,1981
1,0.16666659712791443,0.9490000009536743,-7,12.59999942779541,0.07674294710159302,0,0.8241309523582458,Somalia,1982
1,-0.0023041178938001394,0.9490000009536743,-7,12.59999942779541,0.07674294710159302,0,0.2539570927619934,Somalia,1983
1,-0.0715935081243515,0.9490000009536743,-7,12.59999942779541,0.07674294710159302,0,-0.5498713254928589,Somalia,1984
1,-0.03233833611011505,0.9490000009536743,-7,12.59999942779541,0.07674294710159302,0,0.4514080286026001,Somalia,1985
1,-0.16066838800907135,0.9490000009536743,-7,12.59999942779541,0.07674294710159302,0,0.09901129454374313,Somalia,1986
1,0.251148521900177,0.9490000009536743,-7,12.59999942779541,0.07674294710159302,0,-0.5145331621170044,Somalia,1987
1,-0.019583810120821,0.9490000009536743,-7,12.59999942779541,0.07674294710159302,0,0.8880122900009155,Somalia,1988
1,-0.011235958896577358,0.9490000009536743,-7,12.59999942779541,0.07674294710159302,0,-0.14016780257225037,Somalia,1989
1,-0.021464671939611435,0.9490000009536743,-7,12.59999942779541,0.07674294710159302,0,0.30401280522346497,Somalia,1990
1,-0.09290318936109543,0.9490000009536743,-7,12.59999942779541,0.07674294710159302,0,-0.1474267691373825,Somalia,1991
0,-0.0013003733474761248,1.5379999876022339,-8,3.8999998569488525,0.6933391094207764,0.1128000020980835,-0.17451079189777374,Djibouti,1981
0,-0.11197920143604279,1.5379999876022339,-8,3.8999998569488525,0.6933391094207764,0.1128000020980835,0.5046258568763733,Djibouti,1982
0,-0.0014662567991763353,1.5379999876022339,-8,3.8999998569488525,0.6933391094207764,0.1128000020980835,-0.14806753396987915,Djibouti,1983
0,-0.15124814212322235,1.5379999876022339,-8,3.8999998569488525,0.6933391094207764,0.1128000020980835,-0.05661192908883095,Djibouti,1984
0,0.019896194338798523,1.5379999876022339,-8,3.8999998569488525,0.6933391094207764,0.1128000020980835,-0.3133559226989746,Djibouti,1985
0,-0.0356234572827816,1.5379999876022339,-8,3.8999998569488525,0.6933391094207764,0.1128000020980835,0.2842762768268585,Djibouti,1986
0,-0.12840807437896729,1.5379999876022339,-8,3.8999998569488525,0.6933391094207764,0.1128000020980835,-0.07191327959299088,Djibouti,1987
0,0.2139252871274948,1.5379999876022339,-8,3.8999998569488525,0.6933391094207764,0.1128000020980835,-0.02404153160750866,Djibouti,1988
0,0.17373234033584595,1.5379999876022339,-8,3.8999998569488525,0.6933391094207764,0.1128000020980835,0.20213866233825684,Djibouti,1989
0,-0.02124643884599209,1.5379999876022339,-8,3.8999998569488525,0.6933391094207764,0.1128000020980835,0.11303411424160004,Djibouti,1990
1,-0.010853825137019157,1.5379999876022339,-8,3.8999998569488525,0.6933391094207764,0.1128000020980835,-0.33530697226524353,Djibouti,1991
1,0.01898728497326374,0.3160000145435333,-7,70.39998626708984,0.6935932636260986,0.6122000217437744,-0.09161348640918732,Ethiopia,1981
1,0,0.3160000145435333,-7,70.39998626708984,0.6935932636260986,0.6122000217437744,0.232380211353302,Ethiopia,1982
1,0,0.3160000145435333,-7,70.39998626708984,0.6935932636260986,0.6122000217437744,-0.03194037824869156,Ethiopia,1983
1,0.03105587139725685,0.3160000145435333,-7,70.39998626708984,0.6935932636260986,0.6122000217437744,-0.14937053620815277,Ethiopia,1984
1,-0.04216867312788963,0.3160000145435333,-8,70.39998626708984,0.6935932636260986,0.6122000217437744,-0.2030835896730423,Ethiopia,1985
1,-0.05974841117858887,0.3160000145435333,-8,70.39998626708984,0.6935932636260986,0.6122000217437744,0.2674705684185028,Ethiopia,1986
1,0.04347829893231392,0.3160000145435333,-8,70.39998626708984,0.6935932636260986,0.6122000217437744,-0.04083544388413429,Ethiopia,1987
1,0.10554931312799454,0.3160000145435333,-8,70.39998626708984,0.6935932636260986,0.6122000217437744,0.08795949071645737,Ethiopia,1988
1,-0.02878558821976185,0.3160000145435333,-8,70.39998626708984,0.6935932636260986,0.6122000217437744,0.07556813210248947,Ethiopia,1989
1,-0.023085234686732292,0.3160000145435333,-8,70.39998626708984,0.6935932636260986,0.6122000217437744,0.00664354395121336,Ethiopia,1990
1,-0.011555190198123455,0.3160000145435333,-8,70.39998626708984,0.6935932636260986,0.6122000217437744,-0.12210264801979065,Ethiopia,1991
0,-0.07824594527482986,0.3160000145435333,0,70.39998626708984,0.6935932636260986,0.6122000217437744,-0.1027798280119896,Ethiopia,1992
0,-0.08401284366846085,0.3160000145435333,0,70.39998626708984,0.6935932636260986,0.6122000217437744,0.09676051884889603,Ethiopia,1993
0,0.16523171961307526,0.3160000145435333,0,70.39998626708984,0.6935932636260986,0.6122000217437744,0.22829407453536987,Ethiopia,1994
0,0.005182511638849974,0.3160000145435333,1,70.39998626708984,0.6935932636260986,0.6122000217437744,-0.0813739076256752,Ethiopia,1995
1,0.029352400451898575,0.3160000145435333,1,70.39998626708984,0.6935932636260986,0.6122000217437744,-0.05880950763821602,Ethiopia,1996
1,0.07506878674030304,0.3160000145435333,1,70.39998626708984,0.6935932636260986,0.6122000217437744,0.3629395663738251,Ethiopia,1997
1,0.024374764412641525,0.3160000145435333,1,70.39998626708984,0.6935932636260986,0.6122000217437744,-0.14561660587787628,Ethiopia,1998
1,-0.03903816640377045,0.3160000145435333,1,70.39998626708984,0.6935932636260986,0.6122000217437744,-0.15515197813510895,Ethiopia,1999
1,0.01963748037815094,0.6620000004768372,-7,9.700000762939453,0.7832817435264587,0.6122000217437744,-0.10758666694164276,Angola,1981
1,-0.037037089467048645,0.6620000004768372,-7,9.700000762939453,0.7832817435264587,0.6122000217437744,-0.07965317368507385,Angola,1982
1,0.044615454971790314,0.6620000004768372,-7,9.700000762939453,0.7832817435264587,0.6122000217437744,0.1556796431541443,Angola,1983
1,-0.008836586028337479,0.6620000004768372,-7,9.700000762939453,0.7832817435264587,0.6122000217437744,-0.034482065588235855,Angola,1984
1,0.026745924726128578,0.6620000004768372,-7,9.700000762939453,0.7832817435264587,0.6122000217437744,0.05992452800273895,Angola,1985
1,0.0289436187595129,0.6620000004768372,-7,9.700000762939453,0.7832817435264587,0.6122000217437744,-0.018276548013091087,Angola,1986
1,-0.002812986960634589,0.6620000004768372,-7,9.700000762939453,0.7832817435264587,0.6122000217437744,0.21601907908916473,Angola,1987
1,0.011283520609140396,0.6620000004768372,-7,9.700000762939453,0.7832817435264587,0.6122000217437744,-0.10350162535905838,Angola,1988
1,0.022315163165330887,0.6620000004768372,-7,9.700000762939453,0.7832817435264587,0.6122000217437744,0.14791208505630493,Angola,1989
1,-0.04365621507167816,0.6620000004768372,-7,9.700000762939453,0.7832817435264587,0.6122000217437744,-0.11658180505037308,Angola,1990
1,-0.03351065143942833,0.6620000004768372,-7,9.700000762939453,0.7832817435264587,0.6122000217437744,0.05256612226366997,Angola,1991
1,-0.03185543045401573,0.6620000004768372,-3,9.700000762939453,0.7832817435264587,0.6122000217437744,-0.20093896985054016,Angola,1992
1,-0.08411914110183716,0.6620000004768372,0,9.700000762939453,0.7832817435264587,0.6122000217437744,-0.23940172791481018,Angola,1993
1,-0.26336798071861267,0.6620000004768372,-1,9.700000762939453,0.7832817435264587,0.6122000217437744,0.45613327622413635,Angola,1994
1,-0.019394047558307648,0.6620000004768372,-1,9.700000762939453,0.7832817435264587,0.6122000217437744,-0.13509859144687653,Angola,1995
1,0.069228395819664,0.6620000004768372,-2,9.700000762939453,0.7832817435264587,0.6122000217437744,-0.006647316738963127,Angola,1996
1,0.06647016108036041,0.6620000004768372,-2,9.700000762939453,0.7832817435264587,0.6122000217437744,-0.07016658037900925,Angola,1997
1,0.030391987413167953,0.6620000004768372,-3,9.700000762939453,0.7832817435264587,0.6122000217437744,-0.06334932148456573,Angola,1998
1,0.002437596209347248,0.6620000004768372,-3,9.700000762939453,0.7832817435264587,0.6122000217437744,-0.0694902315735817,Angola,1999
1,-0.143784761428833,1.0779999494552612,-8,2.4000003337860107,0.654930055141449,0.6200000047683716,0.10799628496170044,Mozambique,1981
1,0.017334813252091408,1.0779999494552612,-8,2.4000003337860107,0.654930055141449,0.6200000047683716,-0.02588607370853424,Mozambique,1982
1,-0.03620877489447594,1.0779999494552612,-8,2.4000003337860107,0.654930055141449,0.6200000047683716,-0.013338825665414333,Mozambique,1983
1,-0.04309389740228653,1.0779999494552612,-8,2.4000003337860107,0.654930055141449,0.6200000047683716,-0.12334538251161575,Mozambique,1984
1,-0.01963050849735737,1.0779999494552612,-8,2.4000003337860107,0.654930055141449,0.6200000047683716,0.2361457645893097,Mozambique,1985
1,-0.11778558790683746,1.0779999494552612,-8,2.4000003337860107,0.654930055141449,0.6200000047683716,0.06910616904497147,Mozambique,1986
1,0.028037339448928833,1.0779999494552612,-7,2.4000003337860107,0.654930055141449,0.6200000047683716,-0.07475963979959488,Mozambique,1987
1,-0.033766187727451324,1.0779999494552612,-7,2.4000003337860107,0.654930055141449,0.6200000047683716,-0.30437788367271423,Mozambique,1988
1,0.021505339071154594,1.0779999494552612,-7,2.4000003337860107,0.654930055141449,0.6200000047683716,0.4043639600276947,Mozambique,1989
1,0.04078949987888336,1.0779999494552612,-7,2.4000003337860107,0.654930055141449,0.6200000047683716,0.08277996629476547,Mozambique,1990
1,-0.03919092193245888,1.0779999494552612,-7,2.4000003337860107,0.654930055141449,0.6200000047683716,-0.27368026971817017,Mozambique,1991
1,-0.022368447855114937,1.0779999494552612,-6,2.4000003337860107,0.654930055141449,0.6200000047683716,0.06513863056898117,Mozambique,1992
0,-0.04306856915354729,1.0779999494552612,-6,2.4000003337860107,0.654930055141449,0.6200000047683716,-0.27034875750541687,Mozambique,1993
0,0.06418044865131378,1.0779999494552612,-6,2.4000003337860107,0.654930055141449,0.6200000047683716,0.31976616382598877,Mozambique,1994
