stormy,rainy,cold,weekday,price,qty
1,1,0,Monday,0.65,8058
1,0,0,Tuesday,1,2224
0,1,1,Wednesday,1.08,4231
1,0,1,Thursday,1.28,5750
1,0,1,Friday,1.94,2551
0,0,0,Monday,0.81,10952
0,0,0,Tuesday,0.89,7485
0,1,0,Wednesday,0.77,9009
0,0,0,Thursday,0.89,4055
0,0,0,Friday,0.71,9992
1,0,1,Monday,0.88,5180
1,0,1,Tuesday,1.03,5030
1,0,1,Wednesday,0.93,7083
1,0,1,Thursday,1.13,9763
1,0,1,Friday,1.24,5999
0,0,1,Monday,0.73,12196
0,0,1,Tuesday,0.9,3464
0,0,1,Thursday,1.25,815
0,0,1,Friday,1.28,6627
0,1,1,Monday,0.93,14260
0,1,1,Tuesday,1.23,4015
0,0,0,Thursday,1.24,4109
0,0,0,Friday,1.36,7222
1,0,0,Monday,1.49,11344
1,0,1,Tuesday,1.64,3370
1,0,1,Wednesday,1.49,3470
0,0,1,Thursday,1.33,13607
0,1,0,Friday,1.25,5260
0,0,0,Monday,0.93,11930
0,0,0,Tuesday,0.86,5590
1,1,1,Wednesday,1.27,2270
1,0,1,Thursday,1.19,4690
1,1,1,Friday,1.17,1283
1,0,1,Monday,1.04,580
0,1,1,Tuesday,1.24,1500
0,0,1,Wednesday,0.94,4410
0,0,0,Thursday,0.64,9784
0,1,0,Friday,0.46,11140
1,1,1,Monday,0.48,4289
0,0,1,Tuesday,0.49,5548
0,0,1,Wednesday,0.6,3445
0,0,1,Thursday,0.57,6068
0,0,0,Friday,0.57,4525
1,0,1,Monday,0.65,8250
1,0,1,Tuesday,0.46,1860
1,0,1,Wednesday,0.82,1280
1,0,1,Thursday,1.47,4855
0,0,1,Friday,1.42,7939
1,0,1,Monday,1.38,6275
1,0,1,Tuesday,1.54,2680
1,0,1,Wednesday,1.22,5390
0,0,1,Thursday,0.99,8400
0,0,1,Friday,0.62,13708
0,0,1,Tuesday,0.46,17555
0,0,0,Wednesday,0.33,3494
0,0,0,Thursday,0.42,5870
0,0,0,Friday,0.55,8390
0,0,1,Monday,0.57,4340
0,0,1,Tuesday,0.46,2100
0,0,1,Wednesday,0.76,2575
1,1,1,Thursday,1.2,2850
1,0,0,Friday,1.23,6190
0,0,0,Monday,1.08,5615
1,0,1,Tuesday,0.99,6610
0,0,0,Wednesday,0.77,8055
0,0,0,Thursday,0.79,10135
0,0,0,Friday,0.62,5263
0,0,0,Monday,0.44,21620
0,0,0,Tuesday,0.62,9625
0,0,1,Wednesday,0.79,3350
1,1,1,Thursday,0.75,10315
1,0,1,Friday,0.71,3030
0,0,1,Monday,0.62,15460
0,0,1,Tuesday,0.56,9590
0,0,1,Wednesday,0.96,1705
0,0,1,Thursday,1.08,5510
1,1,1,Friday,0.59,7347
0,0,1,Monday,0.89,2585
0,0,1,Tuesday,0.79,3745
0,0,1,Wednesday,0.65,2940
0,0,0,Thursday,0.62,12040
0,0,0,Friday,0.83,2235
1,0,0,Monday,1.2,2220
1,0,0,Tuesday,1.33,1112
0,1,0,Wednesday,0.83,4880
0,0,0,Thursday,0.64,11310
0,1,1,Friday,0.57,14455
0,0,0,Monday,0.68,7907
0,0,0,Tuesday,0.6,1465
0,0,0,Wednesday,0.54,12280
0,0,0,Thursday,0.68,6250
0,0,0,Friday,0.69,5350
0,0,1,Monday,0.73,5755
0,0,0,Tuesday,0.7,1610
0,0,0,Wednesday,0.8,490
0,0,0,Thursday,0.73,9775
0,1,0,Friday,0.8,6500
0,0,0,Tuesday,0.75,10520
0,0,0,Wednesday,0.91,4000
0,1,0,Thursday,0.87,6230
0,0,0,Friday,0.58,15550
0,0,0,Monday,0.63,5180
0,0,0,Tuesday,0.61,3510
0,0,0,Wednesday,0.47,5785
0,0,0,Thursday,0.41,8950
0,0,0,Friday,0.33,8220
0,0,0,Monday,0.45,5490
0,0,0,Tuesday,0.92,1290
0,0,0,Wednesday,1.2,1575
0,0,0,Thursday,1.25,6400
0,0,0,Friday,1.75,4140